CustomerId,FirstName,LastName,Country,City,DOB
1,Yolanda,Wagner,Belgium,Brussels,02/24/1969
2,Arnold,Harmon,England,London,11/01/1943
3,Minh,Casey,Ireland,Limerick,11/24/1975
4,Russell,McIntyre,Portugal,Braga,08/05/1991
5,Angelina,Santiago,England,London,08/22/1976
6,Sabrina,Conway,England,Birmingham,06/25/1962
7,Jacqueline,Zimmerman,Belgium,Brussels,05/04/2001
8,Dewey,Francis,England,Liverpool,01/10/1956
9,Haley,McDowell,Belgium,Brussels,04/25/1986
10,Brittany,Tate,England,Liverpool,04/07/1989
11,Dario,Morse,Portugal,Porto,06/02/1966
12,Josh,Conrad,England,Liverpool,10/18/1982
13,Coleman,Rios,England,Birmingham,01/17/1950
14,Shari,Nieves,England,Liverpool,05/04/1982
15,Keri,Reyes,England,London,02/09/1994
16,Lacy,Cross,Belgium,Antwerp,04/03/1997
17,Willie,Bonner,England,Liverpool,08/02/1949
18,Silvia,Justice,England,Liverpool,02/03/1965
19,Jody,Vinson,Belgium,Brussels,04/06/1960
20,Clifford,Kent,England,Liverpool,11/14/1989
21,Rafael,Garner,Portugal,Lisbon,08/27/1948
22,Leigh,Lott,Portugal,Lisbon,03/12/1962
23,Jean,Burgess,England,London,03/14/1999
24,Andrew,Schwartz,Belgium,Brussels,10/20/1995
25,Reyna,Hogan,France,Paris,01/11/1992
26,Abby,Dominguez,England,London,03/26/1967
27,Tristan,Salas,Ireland,Tralee,02/02/1989
28,Bill,Wells,England,London,06/22/1993
29,Antony,Lowe,England,Liverpool,04/02/1949
30,Hershel,Rodriguez,Portugal,Porto,11/02/1955
31,Valeria,Phillips,Belgium,Brussels,05/10/1981
32,Jeffery,Daniel,England,London,05/07/1968
33,Dolly,Rodriguez,Portugal,Braga,02/25/1994
34,Josef,Mitchell,Ireland,Tralee,07/23/1996
35,Tristan,Merritt,Portugal,Braga,05/18/2000
36,Jan,Copeland,England,Liverpool,02/06/1968
37,Kaye,Freeman,Portugal,Lisbon,08/04/1979
38,Salvador,Nieves,England,Manchester,08/27/1969
39,Harrison,Lindsay,Portugal,Porto,10/07/1965
40,Dillon,Hurley,England,London,07/11/1974
41,Horacio,Alvarez,Portugal,Lisbon,03/27/1961
42,Joshua,Howe,England,Manchester,08/21/1978
43,Chi,Barry,Portugal,Lisbon,06/27/1998
44,Janet,Greer,England,London,04/17/1999
45,Kelly,McGuire,England,Liverpool,04/14/1975
46,Kathy,Garcia,England,Liverpool,02/11/1961
47,Erich,Melendez,Portugal,Porto,09/14/1972
48,Grant,Pope,Portugal,Lisbon,09/19/1956
49,Carla,Cross,Portugal,Lisbon,08/17/1984
50,Louise,Whitney,Portugal,Lisbon,10/12/1955
51,Aurelio,Crosby,Belgium,Brussels,06/05/1987
52,Jewell,Frazier,Portugal,Lisbon,06/11/1965
53,Jonathon,Padilla,Ireland,Tralee,07/04/2002
54,Linda,Rogers,Ireland,Tralee,06/06/1960
55,Gayle,Michael,England,London,04/23/2002
56,Thomas,Booker,Portugal,Lisbon,07/11/1949
