CustomerId,FirstName,LastName,Country,City,DOB
1,Dina,Stuart,New Zealand,Auckland,09/10/1966
2,Lavern,Forbes,New Zealand,Wellington,02/03/1948
3,Jayson,Massey,Australia,Burnie Tasmania,02/07/1992
4,Cindy,Cash,New Zealand,Christchurch,04/01/1992
5,Theresa,Freeman,Australia,Burnie Tasmania,03/10/1965
6,Jacqueline,Zimmerman,Australia,Burnie Tasmania,05/04/2001
7,Naomi,Schroeder,New Zealand,Christchurch,07/06/1950
8,Rodrick,Horne,New Zealand,Christchurch,05/08/1949
9,Hillary,Steele,New Zealand,Christchurch,01/10/1944
10,Alexander,Stanton,Australia,Burnie Tasmania,02/14/2000
11,Orlando,Douglas,New Zealand,Auckland,01/09/1993
12,Mercedes,Johns,Australia,Burnie Tasmania,01/11/1959
13,Palmer,Calderon,Australia,Burnie Tasmania,02/01/1961
14,Desiree,Mitchell,New Zealand,Christchurch,06/24/1965
15,Latonya,McClure,New Zealand,Christchurch,08/03/1985
16,Ana,Mathews,Australia,Burnie Tasmania,10/19/2000
17,Carey,Ryan,New Zealand,Tauranga,11/14/1950
18,Erma,Bright,New Zealand,Christchurch,07/24/1953
19,Ofelia,McGowan,New Zealand,Christchurch,06/10/1989
20,Dona,Ward,New Zealand,Christchurch,06/06/1955
21,Renaldo,Terrell,Australia,Burnie Tasmania,02/24/1985
22,Charlotte,Hendricks,Australia,Burnie Tasmania,03/09/1964
23,Lino,Cook,Australia,Burnie Tasmania,10/09/1974
24,Elaine,Wade,New Zealand,Christchurch,07/14/1972
25,Selena,Jimenez,New Zealand,Auckland,02/10/1975
26,Cassandra,Randall,New Zealand,Christchurch,08/22/1990
27,Sandra,Guy,New Zealand,Wellington,06/23/1959
28,Rosalie,Downs,New Zealand,Auckland,05/19/1966
29,Booker,Delacruz,New Zealand,Auckland,01/06/1999
30,Maxine,Daniels,New Zealand,Christchurch,08/27/1985
31,Vilma,Christian,New Zealand,Christchurch,04/26/1953
32,Clair,Meadows,New Zealand,Wellington,07/16/2001
33,Charles,Hart,New Zealand,Wellington,03/05/1996
34,Eldon,Hansen,New Zealand,Tauranga,02/21/1969
35,Alana,Daniel,Australia,Burnie Tasmania,05/12/1946
36,Bud,Koch,New Zealand,Auckland,07/21/1961
37,Janet,Greer,New Zealand,Christchurch,04/17/1999
38,Clement,Glenn,New Zealand,Tauranga,06/15/1972
39,Sally,Emerson,New Zealand,Christchurch,04/25/1951
40,Morris,Santana,Australia,Burnie Tasmania,10/12/1984
41,Gwendolyn,Nash,Australia,Burnie Tasmania,02/03/1970
42,Erwin,Ferrell,New Zealand,Tauranga,03/24/2000
43,Joanne,Ratliff,New Zealand,Auckland,02/19/1971
44,Bradly,Walton,New Zealand,Auckland,10/06/1953
45,Florine,Britt,Australia,Burnie Tasmania,09/09/1958
46,Gayle,Michael,New Zealand,Christchurch,04/23/2002
47,Sadie,Ferguson,New Zealand,Tauranga,02/24/1956
48,Blanche,Goff,New Zealand,Christchurch,06/06/1945
49,Amanda,Rivera,New Zealand,Christchurch,01/11/1958
50,Goldie,Shannon,New Zealand,Christchurch,04/07/1997
51,Cleo,Oliver,New Zealand,Christchurch,04/11/1953
52,Leta,Grant,New Zealand,Christchurch,07/03/1998
53,Russ,Michael,New Zealand,Wellington,09/03/1962
54,Rachelle,Barton,New Zealand,Christchurch,05/11/1978
55,Mariano,Justice,Australia,Burnie Tasmania,03/21/2000
56,Lorna,Knight,New Zealand,Christchurch,03/21/2000
57,Ina,Haynes,New Zealand,Wellington,03/15/1973
58,Aurelia,Warner,New Zealand,Christchurch,09/24/1988
59,Lourdes,Eaton,Australia,Burnie Tasmania,01/12/2001
60,Sanford,French,New Zealand,Wellington,09/04/1984
61,Buddy,Bryan,Australia,Burnie Tasmania,06/21/1982
62,Otto,Day,Australia,Burnie Tasmania,01/24/1984
63,Ericka,Cervantes,New Zealand,Auckland,05/15/1972
